Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
223,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,IRON BSE CONSOLE TBLE,265.00 
224,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,IRON BSE CONSOLE TBLE,23.19 
225,2790_1516 INT SCHMIDT HOME,001,1130 ,03/30/11,AMERICAN EXPRESS,LP,AX,COW HIDE RUG_COST PLUS,225.00 
226,2790_1516 INT SCHMIDT HOME,001,1130 ,03/30/11,AMERICAN EXPRESS,TAX,AX,COW HIDE RUG_COST PLUS,20.25 
227,2790_1516 INT SCHMIDT HOME,001,1131 ,03/30/11,AMERICAN EXPRESS,LP,AX,SOPHIE SWIVEL CHAIR_CHRISTIAN,1125.00
228,2790_1516 INT SCHMIDT HOME,001,1131 ,03/30/11,AMERICAN EXPRESS,TAX,AX,SOPHIE SWIVEL CHAIR_CHRISTIAN,98.44 
229,2790_1516 INT SCHMIDT HOME,001,1131 ,03/30/11,AMERICAN EXPRESS,LP,AX,LOVESEAT_CHRISTIAN ST FURNITUR,195.00 
230,2790_1516 INT SCHMIDT HOME,001,1131 ,03/30/11,AMERICAN EXPRESS,TAX,AX,LOVESEAT_CHRISTIAN ST FURNITUR,17.06 
231,2790_1516 INT SCHMIDT HOME,001,1131 ,03/30/11,AMERICAN EXPRESS,LP,AX,2X SQUARE CHAIR_CHRISTIAN ST F,1300.00
232,2790_1516 INT SCHMIDT HOME,001,1131 ,03/30/11,AMERICAN EXPRESS,TAX,AX,2X SQUARE CHAIR_CHRISTIAN ST F,113.75 
233,2790_1516 INT SCHMIDT HOME,001,1885 ,04/07/11,AMERICAN EXPRESS,LP,AX,2X WOOD PATTERN CHRS_AGORA,375.00 
234,2790_1516 INT SCHMIDT HOME,001,1885 ,04/07/11,AMERICAN EXPRESS,TAX,AX,2X WOOD PATTERN CHRS_AGORA,33.75 
235,2790_1516 INT SCHMIDT HOME,001,1886 ,04/07/11,AMERICAN EXPRESS,LP,AX,METAL MR. ED HORST_LE BOULEVAR,98.00 
236,2790_1516 INT SCHMIDT HOME,001,1886 ,04/07/11,AMERICAN EXPRESS,TAX,AX,METAL MR. ED HORST_LE BOULEVAR,8.58 
237,2790_1516 INT SCHMIDT HOME,001,1886 ,04/07/11,AMERICAN EXPRESS,LP,AX,MT.RUSHMORE LAMP_LE BOULEVARD,148.50 
238,2790_1516 INT SCHMIDT HOME,001,1886 ,04/07/11,AMERICAN EXPRESS,TAX,AX,MT.RUSHMORE LAMP_LE BOULEVARD,12.99 
239,2790_1516 INT SCHMIDT HOME,001,2548 ,04/19/11,AMERICAN EXPRESS,LP,AX,2X WOOD TBLS_REN INTERIORS,265.00 
240,2790_1516 INT SCHMIDT HOME,001,2548 ,04/19/11,AMERICAN EXPRESS,TAX,AX,2X WOOD TBLS_REN INTERIORS,23.19 
241,2790_1516 INT SCHMIDT HOME,001,2548 ,04/19/11,AMERICAN EXPRESS,LP,AX,ANTIQUE PINE CABNT_REN INTERIO,750.00 
242,2790_1516 INT SCHMIDT HOME,001,2548 ,04/19/11,AMERICAN EXPRESS,TAX,AX,ANTIQUE PINE CABNT_REN INTERIO,65.63 
243,2790_1516 INT SCHMIDT HOME,001,2548 ,04/19/11,AMERICAN EXPRESS,LP,AX,NEEDLEPNT PRIEST_REN INTERIORS,95.00 
244,2790_1516 INT SCHMIDT HOME,001,2548 ,04/19/11,AMERICAN EXPRESS,TAX,AX,NEEDLEPNT PRIEST_REN INTERIORS,8.31 
245,2790_1516 INT SCHMIDT HOME,001,6010 ,05/12/11,AMERICAN EXPRESS,XX,AX,TERRACOTTA VASE _ DOUGLAS FIR,230.00 
246,2790_1516 INT SCHMIDT HOME,001,6010 ,05/12/11,AMERICAN EXPRESS,XX,AX,DESERT SCENE PRINT _ DOUGLAS F,295.00 
247,2790_1516 INT SCHMIDT HOME,001,7770 ,05/24/11,AMERICAN EXPRESS,LP,AX,OPEN CAPE COD DISPLAY_C.S.F.,995.00 
248,2790_1516 INT SCHMIDT HOME,001,7770 ,05/24/11,AMERICAN EXPRESS,TAX,AX,OPEN CAPE COD DISPLAY_C.S.F.,87.06 
249,2790_1516 INT SCHMIDT HOME,001,7770 ,05/24/11,AMERICAN EXPRESS,LP,AX,ARIES 3 DRWR CHEST_C.S.F.,320.00 
